dataset,synth_method,model,accuracy_real,f1_real,auc_real,accuracy_synth,f1_synth,auc_synth,jsd,wasserstein,corr_diff,DCR_5th,NNDR_5th
Adult,gllm,DecisionTree,0.82,0.82,0.7567238816056225,0.7,0.7056133056133056,0.6152182727395594,"{'age': np.float64(0.09076853765511156), 'workclass': np.float64(0.09167606425281535), 'fnlwgt': np.float64(0.9987500000000002), 'education': np.float64(0.09657023406859823), 'education-num': np.float64(0.09925563703115062), 'marital-status': np.float64(0.03649954591595991), 'occupation': np.float64(0.05383095408699362), 'relationship': np.float64(0.0035142295034114156), 'race': np.float64(0.1082827632887375), 'sex': np.float64(0.00170948870721575), 'capital-gain': np.float64(0.1668754697252493), 'capital-loss': np.float64(0.04965981541640019), 'hours-per-week': np.float64(0.3385674452535554), 'native-country': np.float64(0.30014645878150625)}","{'age': np.float64(6.823750000000001), 'workclass': np.float64(0.6862500000000002), 'fnlwgt': np.float64(40045.733749999985), 'education': np.float64(0.6525000000000001), 'education-num': np.float64(1.0962499999999997), 'marital-status': np.float64(0.2662500000000001), 'occupation': np.float64(1.0275000000000003), 'relationship': np.float64(0.09499999999999992), 'race': np.float64(0.73875), 'sex': np.float64(0.04625000000000001), 'capital-gain': np.float64(2513.191249999997), 'capital-loss': np.float64(52.76374999999997), 'hours-per-week': np.float64(5.442500000000001), 'native-country': np.float64(8.265000000000002)}",0.3048925445649458,33.91290114893443,0.1203903148951008
Adult,gllm,SVM,0.77,0.6834703801945181,0.6748209217461819,0.53,0.5622380794335656,0.4739829706717124,"{'age': np.float64(0.09076853765511156), 'workclass': np.float64(0.09167606425281535), 'fnlwgt': np.float64(0.9987500000000002), 'education': np.float64(0.09657023406859823), 'education-num': np.float64(0.09925563703115062), 'marital-status': np.float64(0.03649954591595991), 'occupation': np.float64(0.05383095408699362), 'relationship': np.float64(0.0035142295034114156), 'race': np.float64(0.1082827632887375), 'sex': np.float64(0.00170948870721575), 'capital-gain': np.float64(0.1668754697252493), 'capital-loss': np.float64(0.04965981541640019), 'hours-per-week': np.float64(0.3385674452535554), 'native-country': np.float64(0.30014645878150625)}","{'age': np.float64(6.823750000000001), 'workclass': np.float64(0.6862500000000002), 'fnlwgt': np.float64(40045.733749999985), 'education': np.float64(0.6525000000000001), 'education-num': np.float64(1.0962499999999997), 'marital-status': np.float64(0.2662500000000001), 'occupation': np.float64(1.0275000000000003), 'relationship': np.float64(0.09499999999999992), 'race': np.float64(0.73875), 'sex': np.float64(0.04625000000000001), 'capital-gain': np.float64(2513.191249999997), 'capital-loss': np.float64(52.76374999999997), 'hours-per-week': np.float64(5.442500000000001), 'native-country': np.float64(8.265000000000002)}",0.3048925445649458,33.91290114893443,0.1203903148951008
Adult,gllm,RandomForest,0.825,0.8133271255368476,0.880051358291661,0.815,0.8046704014939309,0.7733477496959048,"{'age': np.float64(0.09076853765511156), 'workclass': np.float64(0.09167606425281535), 'fnlwgt': np.float64(0.9987500000000002), 'education': np.float64(0.09657023406859823), 'education-num': np.float64(0.09925563703115062), 'marital-status': np.float64(0.03649954591595991), 'occupation': np.float64(0.05383095408699362), 'relationship': np.float64(0.0035142295034114156), 'race': np.float64(0.1082827632887375), 'sex': np.float64(0.00170948870721575), 'capital-gain': np.float64(0.1668754697252493), 'capital-loss': np.float64(0.04965981541640019), 'hours-per-week': np.float64(0.3385674452535554), 'native-country': np.float64(0.30014645878150625)}","{'age': np.float64(6.823750000000001), 'workclass': np.float64(0.6862500000000002), 'fnlwgt': np.float64(40045.733749999985), 'education': np.float64(0.6525000000000001), 'education-num': np.float64(1.0962499999999997), 'marital-status': np.float64(0.2662500000000001), 'occupation': np.float64(1.0275000000000003), 'relationship': np.float64(0.09499999999999992), 'race': np.float64(0.73875), 'sex': np.float64(0.04625000000000001), 'capital-gain': np.float64(2513.191249999997), 'capital-loss': np.float64(52.76374999999997), 'hours-per-week': np.float64(5.442500000000001), 'native-country': np.float64(8.265000000000002)}",0.3048925445649458,33.91290114893443,0.1203903148951008
Adult,gllm,LogisticRegression,0.82,0.8108813509109761,0.771996215704825,0.76,0.76,0.7756453574807407,"{'age': np.float64(0.09076853765511156), 'workclass': np.float64(0.09167606425281535), 'fnlwgt': np.float64(0.9987500000000002), 'education': np.float64(0.09657023406859823), 'education-num': np.float64(0.09925563703115062), 'marital-status': np.float64(0.03649954591595991), 'occupation': np.float64(0.05383095408699362), 'relationship': np.float64(0.0035142295034114156), 'race': np.float64(0.1082827632887375), 'sex': np.float64(0.00170948870721575), 'capital-gain': np.float64(0.1668754697252493), 'capital-loss': np.float64(0.04965981541640019), 'hours-per-week': np.float64(0.3385674452535554), 'native-country': np.float64(0.30014645878150625)}","{'age': np.float64(6.823750000000001), 'workclass': np.float64(0.6862500000000002), 'fnlwgt': np.float64(40045.733749999985), 'education': np.float64(0.6525000000000001), 'education-num': np.float64(1.0962499999999997), 'marital-status': np.float64(0.2662500000000001), 'occupation': np.float64(1.0275000000000003), 'relationship': np.float64(0.09499999999999992), 'race': np.float64(0.73875), 'sex': np.float64(0.04625000000000001), 'capital-gain': np.float64(2513.191249999997), 'capital-loss': np.float64(52.76374999999997), 'hours-per-week': np.float64(5.442500000000001), 'native-country': np.float64(8.265000000000002)}",0.3048925445649458,33.91290114893443,0.1203903148951008
Adult,gllm,MLP,0.78,0.7043588096767287,0.6504257332071902,0.805,0.751701873850589,0.6736045411542101,"{'age': np.float64(0.09076853765511156), 'workclass': np.float64(0.09167606425281535), 'fnlwgt': np.float64(0.9987500000000002), 'education': np.float64(0.09657023406859823), 'education-num': np.float64(0.09925563703115062), 'marital-status': np.float64(0.03649954591595991), 'occupation': np.float64(0.05383095408699362), 'relationship': np.float64(0.0035142295034114156), 'race': np.float64(0.1082827632887375), 'sex': np.float64(0.00170948870721575), 'capital-gain': np.float64(0.1668754697252493), 'capital-loss': np.float64(0.04965981541640019), 'hours-per-week': np.float64(0.3385674452535554), 'native-country': np.float64(0.30014645878150625)}","{'age': np.float64(6.823750000000001), 'workclass': np.float64(0.6862500000000002), 'fnlwgt': np.float64(40045.733749999985), 'education': np.float64(0.6525000000000001), 'education-num': np.float64(1.0962499999999997), 'marital-status': np.float64(0.2662500000000001), 'occupation': np.float64(1.0275000000000003), 'relationship': np.float64(0.09499999999999992), 'race': np.float64(0.73875), 'sex': np.float64(0.04625000000000001), 'capital-gain': np.float64(2513.191249999997), 'capital-loss': np.float64(52.76374999999997), 'hours-per-week': np.float64(5.442500000000001), 'native-country': np.float64(8.265000000000002)}",0.3048925445649458,33.91290114893443,0.1203903148951008
Adult,help,DecisionTree,0.81,0.8071992768738702,0.7294228949858088,0.0,0.0,0.5589268820110826,"{'age': np.float64(0.07506155757909921), 'workclass': np.float64(0.9999999999999999), 'fnlwgt': np.float64(0.80404468920505), 'education': np.float64(0.9999999999999998), 'education-num': np.float64(0.06282441206179004), 'marital-status': np.float64(1.0000000000000004), 'occupation': np.float64(1.0), 'relationship': np.float64(0.9999999999999998), 'race': np.float64(1.0), 'sex': np.float64(1.0), 'capital-gain': np.float64(0.023978756991519065), 'capital-loss': np.float64(0.01848868912668315), 'hours-per-week': np.float64(0.05766707205785645), 'native-country': np.float64(1.0)}","{'age': np.float64(1.8824999999999998), 'workclass': np.float64(5.92), 'fnlwgt': np.float64(76900.37375), 'education': np.float64(15.06625), 'education-num': np.float64(0.8087500000000001), 'marital-status': np.float64(5.8875), 'occupation': np.float64(12.84375), 'relationship': np.float64(5.86125), 'race': np.float64(4.1425), 'sex': np.float64(2.00625), 'capital-gain': np.float64(678.1687500000015), 'capital-loss': np.float64(53.411249999999974), 'hours-per-week': np.float64(1.3662500000000013), 'native-country': np.float64(18.35625)}",0.1504266438756072,23.85267236834677,0.015957711780182
Adult,help,SVM,0.77,0.6834703801945181,0.717529395864306,0.0,0.0,0.3128801189349912,"{'age': np.float64(0.07506155757909921), 'workclass': np.float64(0.9999999999999999), 'fnlwgt': np.float64(0.80404468920505), 'education': np.float64(0.9999999999999998), 'education-num': np.float64(0.06282441206179004), 'marital-status': np.float64(1.0000000000000004), 'occupation': np.float64(1.0), 'relationship': np.float64(0.9999999999999998), 'race': np.float64(1.0), 'sex': np.float64(1.0), 'capital-gain': np.float64(0.023978756991519065), 'capital-loss': np.float64(0.01848868912668315), 'hours-per-week': np.float64(0.05766707205785645), 'native-country': np.float64(1.0)}","{'age': np.float64(1.8824999999999998), 'workclass': np.float64(5.92), 'fnlwgt': np.float64(76900.37375), 'education': np.float64(15.06625), 'education-num': np.float64(0.8087500000000001), 'marital-status': np.float64(5.8875), 'occupation': np.float64(12.84375), 'relationship': np.float64(5.86125), 'race': np.float64(4.1425), 'sex': np.float64(2.00625), 'capital-gain': np.float64(678.1687500000015), 'capital-loss': np.float64(53.411249999999974), 'hours-per-week': np.float64(1.3662500000000013), 'native-country': np.float64(18.35625)}",0.1504266438756072,23.85267236834677,0.015957711780182
Adult,help,RandomForest,0.845,0.8379247915978114,0.8851196107582106,0.0,0.0,0.7969995945398027,"{'age': np.float64(0.07506155757909921), 'workclass': np.float64(0.9999999999999999), 'fnlwgt': np.float64(0.80404468920505), 'education': np.float64(0.9999999999999998), 'education-num': np.float64(0.06282441206179004), 'marital-status': np.float64(1.0000000000000004), 'occupation': np.float64(1.0), 'relationship': np.float64(0.9999999999999998), 'race': np.float64(1.0), 'sex': np.float64(1.0), 'capital-gain': np.float64(0.023978756991519065), 'capital-loss': np.float64(0.01848868912668315), 'hours-per-week': np.float64(0.05766707205785645), 'native-country': np.float64(1.0)}","{'age': np.float64(1.8824999999999998), 'workclass': np.float64(5.92), 'fnlwgt': np.float64(76900.37375), 'education': np.float64(15.06625), 'education-num': np.float64(0.8087500000000001), 'marital-status': np.float64(5.8875), 'occupation': np.float64(12.84375), 'relationship': np.float64(5.86125), 'race': np.float64(4.1425), 'sex': np.float64(2.00625), 'capital-gain': np.float64(678.1687500000015), 'capital-loss': np.float64(53.411249999999974), 'hours-per-week': np.float64(1.3662500000000013), 'native-country': np.float64(18.35625)}",0.1504266438756072,23.85267236834677,0.015957711780182
Adult,help,LogisticRegression,0.82,0.8048124999999999,0.8032166508987701,0.0,0.0,0.847276659007974,"{'age': np.float64(0.07506155757909921), 'workclass': np.float64(0.9999999999999999), 'fnlwgt': np.float64(0.80404468920505), 'education': np.float64(0.9999999999999998), 'education-num': np.float64(0.06282441206179004), 'marital-status': np.float64(1.0000000000000004), 'occupation': np.float64(1.0), 'relationship': np.float64(0.9999999999999998), 'race': np.float64(1.0), 'sex': np.float64(1.0), 'capital-gain': np.float64(0.023978756991519065), 'capital-loss': np.float64(0.01848868912668315), 'hours-per-week': np.float64(0.05766707205785645), 'native-country': np.float64(1.0)}","{'age': np.float64(1.8824999999999998), 'workclass': np.float64(5.92), 'fnlwgt': np.float64(76900.37375), 'education': np.float64(15.06625), 'education-num': np.float64(0.8087500000000001), 'marital-status': np.float64(5.8875), 'occupation': np.float64(12.84375), 'relationship': np.float64(5.86125), 'race': np.float64(4.1425), 'sex': np.float64(2.00625), 'capital-gain': np.float64(678.1687500000015), 'capital-loss': np.float64(53.411249999999974), 'hours-per-week': np.float64(1.3662500000000013), 'native-country': np.float64(18.35625)}",0.1504266438756072,23.85267236834677,0.015957711780182
Adult,help,MLP,0.825,0.7958908008231533,0.7148939045817003,0.0,0.0,0.5,"{'age': np.float64(0.07506155757909921), 'workclass': np.float64(0.9999999999999999), 'fnlwgt': np.float64(0.80404468920505), 'education': np.float64(0.9999999999999998), 'education-num': np.float64(0.06282441206179004), 'marital-status': np.float64(1.0000000000000004), 'occupation': np.float64(1.0), 'relationship': np.float64(0.9999999999999998), 'race': np.float64(1.0), 'sex': np.float64(1.0), 'capital-gain': np.float64(0.023978756991519065), 'capital-loss': np.float64(0.01848868912668315), 'hours-per-week': np.float64(0.05766707205785645), 'native-country': np.float64(1.0)}","{'age': np.float64(1.8824999999999998), 'workclass': np.float64(5.92), 'fnlwgt': np.float64(76900.37375), 'education': np.float64(15.06625), 'education-num': np.float64(0.8087500000000001), 'marital-status': np.float64(5.8875), 'occupation': np.float64(12.84375), 'relationship': np.float64(5.86125), 'race': np.float64(4.1425), 'sex': np.float64(2.00625), 'capital-gain': np.float64(678.1687500000015), 'capital-loss': np.float64(53.411249999999974), 'hours-per-week': np.float64(1.3662500000000013), 'native-country': np.float64(18.35625)}",0.1504266438756072,23.85267236834677,0.015957711780182
Covertype,finetuned,DecisionTree,0.61,0.60942993340645,-1.0,0.17,0.2339919577526439,-1.0,"{'Elevation': np.float64(0.7284729573001445), 'Aspect': np.float64(0.2217138193679274), 'Slope': np.float64(0.2156592460284686), 'Horizontal_Distance_To_Hydrology': np.float64(0.8370181192676598), 'Vertical_Distance_To_Hydrology': np.float64(0.6815598750651286), 'Horizontal_Distance_To_Roadways': np.float64(0.9195281953111479), 'Hillshade_9am': np.float64(0.4337745184179509), 'Hillshade_Noon': np.float64(0.5721959567272447), 'Hillshade_3pm': np.float64(0.34019083394914496), 'Horizontal_Distance_To_Fire_Points': np.float64(0.8960357109118089), 'Wilderness_Area1': np.float64(0.03736814381653346), 'Wilderness_Area2': np.float64(0.058858886048794565), 'Wilderness_Area3': np.float64(0.028915220569537672), 'Wilderness_Area4': np.float64(0.05955322394841109), 'Soil_Type1': np.float64(0.008424930647345123), 'Soil_Type2': np.float64(0.0022671471738028477), 'Soil_Type3': np.float64(0.0007328843497837652), 'Soil_Type4': np.float64(0.00016880509900409922), 'Soil_Type5': np.float64(0.006427325406917016), 'Soil_Type6': np.float64(0.005306890305678383), 'Soil_Type7': np.float64(0.011977946206300777), 'Soil_Type8': np.float64(0.012614140314137944), 'Soil_Type9': np.float64(0.008907177271345504), 'Soil_Type10': np.float64(0.0068595223557848094), 'Soil_Type11': np.float64(0.0010203139183915086), 'Soil_Type12': np.float64(0.0030785867179993895), 'Soil_Type13': np.float64(0.0004176975108471619), 'Soil_Type14': np.float64(0.010792061084240922), 'Soil_Type15': np.float64(0.008805716405334226), 'Soil_Type16': np.float64(0.0022092344518013377), 'Soil_Type17': np.float64(0.003978285619553355), 'Soil_Type18': np.float64(0.007259788810851903), 'Soil_Type19': np.float64(0.0046168397938821494), 'Soil_Type20': np.float64(0.0006495716194511297), 'Soil_Type21': np.float64(0.007457074881199695), 'Soil_Type22': np.float64(0.004362170528887422), 'Soil_Type23': np.float64(0.015674358468728007), 'Soil_Type24': np.float64(3.5853691902993636e-05), 'Soil_Type25': np.float64(0.01007286462500093), 'Soil_Type26': np.float64(0.011990615657527778), 'Soil_Type27': np.float64(0.00960301161889324), 'Soil_Type28': np.float64(0.006110327644979206), 'Soil_Type29': np.float64(0.06668540007291202), 'Soil_Type30': np.float64(0.0036220985700547255), 'Soil_Type31': np.float64(0.0018041594879143487), 'Soil_Type32': np.float64(0.0094272831804222), 'Soil_Type33': np.float64(0.009943009385575999), 'Soil_Type34': np.float64(0.005120938792283028), 'Soil_Type35': np.float64(0.011150840046773625), 'Soil_Type36': np.float64(0.015803913148412323), 'Soil_Type37': np.float64(0.004980520552789861), 'Soil_Type38': np.float64(0.002313241973537113), 'Soil_Type39': np.float64(0.00010674270347631578), 'Soil_Type40': np.float64(0.001992667279655998)}","{'Elevation': np.float64(323.1325), 'Aspect': np.float64(25.5925), 'Slope': np.float64(9.22375), 'Horizontal_Distance_To_Hydrology': np.float64(473.1675), 'Vertical_Distance_To_Hydrology': np.float64(214.11499999999998), 'Horizontal_Distance_To_Roadways': np.float64(1690.8687499999999), 'Hillshade_9am': np.float64(81.47375), 'Hillshade_Noon': np.float64(97.8675), 'Hillshade_3pm': np.float64(39.41375), 'Horizontal_Distance_To_Fire_Points': np.float64(1521.9924999999998), 'Wilderness_Area1': np.float64(0.21625000000000005), 'Wilderness_Area2': np.float64(0.1975), 'Wilderness_Area3': np.float64(0.1875), 'Wilderness_Area4': np.float64(0.20624999999999993), 'Soil_Type1': np.float64(0.02124999999999999), 'Soil_Type2': np.float64(0.015000000000000013), 'Soil_Type3': np.float64(0.008750000000000036), 'Soil_Type4': np.float64(0.0050000000000000044), 'Soil_Type5': np.float64(0.02124999999999999), 'Soil_Type6': np.float64(0.022500000000000075), 'Soil_Type7': np.float64(0.02375000000000005), 'Soil_Type8': np.float64(0.025000000000000022), 'Soil_Type9': np.float64(0.025000000000000022), 'Soil_Type10': np.float64(0.03749999999999998), 'Soil_Type11': np.float64(0.011250000000000093), 'Soil_Type12': np.float64(0.025000000000000022), 'Soil_Type13': np.float64(0.007500000000000062), 'Soil_Type14': np.float64(0.026249999999999996), 'Soil_Type15': np.float64(0.01749999999999996), 'Soil_Type16': np.float64(0.010000000000000009), 'Soil_Type17': np.float64(0.015000000000000013), 'Soil_Type18': np.float64(0.018750000000000044), 'Soil_Type19': np.float64(0.022499999999999964), 'Soil_Type20': np.float64(0.008750000000000036), 'Soil_Type21': np.float64(0.023749999999999938), 'Soil_Type22': np.float64(0.03125), 'Soil_Type23': np.float64(0.06624999999999992), 'Soil_Type24': np.float64(0.0024999999999999467), 'Soil_Type25': np.float64(0.020000000000000018), 'Soil_Type26': np.float64(0.028750000000000053), 'Soil_Type27': np.float64(0.02375000000000005), 'Soil_Type28': np.float64(0.016249999999999987), 'Soil_Type29': np.float64(0.1825), 'Soil_Type30': np.float64(0.02749999999999997), 'Soil_Type31': np.float64(0.018750000000000044), 'Soil_Type32': np.float64(0.05500000000000005), 'Soil_Type33': np.float64(0.04749999999999999), 'Soil_Type34': np.float64(0.016250000000000098), 'Soil_Type35': np.float64(0.036250000000000004), 'Soil_Type36': np.float64(0.03125), 'Soil_Type37': np.float64(0.01375000000000004), 'Soil_Type38': np.float64(0.01749999999999996), 'Soil_Type39': np.float64(0.003750000000000031), 'Soil_Type40': np.float64(0.015000000000000013)}",0.0579797863746873,427.297494855079,0.7439833265335684
